Number of Connectives: Mendes Additive Connectives,Number of Connectives: Mendes All Connectives,Number of Connectives: Mendes Causal Connectives,Number of Connectives: Mendes Concessive Connectives,Number of Connectives: Mendes Single-Word Connectives,Number of Connectives: Mendes Temporal Connectives,Cohesive Complexity Feature: Mendes Additive Connectives per Token,Cohesive Complexity Feature: Mendes All Connectives per Token,Cohesive Complexity Feature: Mendes Causal Connectives per Token,Cohesive Complexity Feature: Mendes Concessive Connectives per Token,Cohesive Complexity Feature: Mendes Single-Word Connectives per Connective,Proficiency
3,9,0,0,9,1,0.03030303030303,0.090909090909091,0,0,1,1
3,21,2,0,21,0,0.018518518518519,0.12962962962963,0.012345679012346,0,1,1
3,21,4,0,21,0,0.020833333333333,0.145833333333333,0.027777777777778,0,1,1
3,18,3,0,18,1,0.018181818181818,0.109090909090909,0.018181818181818,0,1,1
4,18,4,0,18,0,0.025641025641026,0.115384615384615,0.025641025641026,0,1,1
7,18,0,0,18,1,0.04635761589404,0.119205298013245,0,0,1,1
6,14,1,0,14,0,0.055045871559633,0.128440366972477,0.009174311926606,0,1,1
4,8,0,0,8,0,0.047058823529412,0.094117647058824,0,0,1,1
1,15,2,0,15,1,0.008849557522124,0.132743362831858,0.017699115044248,0,1,1
11,33,2,0,33,2,0.04029304029304,0.120879120879121,0.007326007326007,0,1,1
2,16,2,0,16,0,0.013422818791946,0.10738255033557,0.013422818791946,0,1,1
2,10,1,0,10,0,0.018691588785047,0.093457943925234,0.009345794392523,0,1,1
11,18,1,0,18,0,0.06875,0.1125,0.00625,0,1,1
3,12,1,0,12,1,0.022556390977444,0.090225563909774,0.007518796992481,0,1,1
7,10,0,0,10,0,0.048275862068966,0.068965517241379,0,0,1,1
10,24,2,0,24,2,0.054054054054054,0.12972972972973,0.010810810810811,0,1,1
4,14,2,0,14,1,0.027777777777778,0.097222222222222,0.013888888888889,0,1,1
2,11,2,0,11,0,0.014814814814815,0.081481481481482,0.014814814814815,0,1,1
4,13,0,0,13,0,0.031007751937985,0.10077519379845,0,0,1,1
7,18,1,0,18,0,0.04093567251462,0.105263157894737,0.005847953216374,0,1,1
1,12,0,0,12,0,0.008547008547009,0.102564102564103,0,0,1,1
2,18,1,0,18,0,0.01219512195122,0.109756097560976,0.00609756097561,0,1,1
2,7,0,0,7,1,0.015873015873016,0.055555555555556,0,0,1,1
2,16,1,0,16,0,0.018691588785047,0.149532710280374,0.009345794392523,0,1,1
6,16,0,0,16,0,0.028436018957346,0.075829383886256,0,0,1,1
3,22,4,0,22,0,0.025,0.183333333333333,0.033333333333333,0,1,1
3,11,0,0,11,0,0.027027027027027,0.099099099099099,0,0,1,1
5,14,1,0,14,0,0.05,0.14,0.01,0,1,1
5,17,1,0,17,0,0.031645569620253,0.107594936708861,0.006329113924051,0,1,1
7,14,3,0,14,0,0.07,0.14,0.03,0,1,1
17,42,2,1,42,3,0.066147859922179,0.163424124513619,0.007782101167315,0.003891050583658,1,1
3,10,1,0,10,0,0.033333333333333,0.111111111111111,0.011111111111111,0,1,1
10,24,2,1,24,1,0.052083333333333,0.125,0.010416666666667,0.005208333333333,1,1
1,5,0,0,5,0,0.023255813953488,0.116279069767442,0,0,1,1
3,7,0,0,7,0,0.037037037037037,0.08641975308642,0,0,1,1
9,20,2,0,20,0,0.062068965517241,0.137931034482759,0.013793103448276,0,1,1
10,24,1,0,24,0,0.042553191489362,0.102127659574468,0.004255319148936,0,1,1
7,23,1,0,23,1,0.054263565891473,0.178294573643411,0.007751937984496,0,1,1
7,29,2,0,29,1,0.03448275862069,0.142857142857143,0.009852216748768,0,1,1
6,9,0,0,9,0,0.063157894736842,0.094736842105263,0,0,1,1
6,18,1,0,18,2,0.040540540540541,0.121621621621622,0.006756756756757,0,1,1
3,10,2,0,10,0,0.021276595744681,0.070921985815603,0.014184397163121,0,1,1
11,26,2,0,26,0,0.053921568627451,0.127450980392157,0.009803921568627,0,1,1
8,11,0,0,11,0,0.068376068376068,0.094017094017094,0,0,1,1
7,30,2,0,30,0,0.03030303030303,0.12987012987013,0.008658008658009,0,1,1
6,19,1,0,19,0,0.038961038961039,0.123376623376623,0.006493506493506,0,1,1
4,15,2,0,15,1,0.036036036036036,0.135135135135135,0.018018018018018,0,1,1
10,22,2,0,22,0,0.051546391752577,0.11340206185567,0.010309278350516,0,1,1
2,11,0,0,11,0,0.014285714285714,0.078571428571429,0,0,1,1
1,1,0,0,1,0,0.018867924528302,0.018867924528302,0,0,1,1
5,10,1,0,10,1,0.033783783783784,0.067567567567568,0.006756756756757,0,1,1
7,8,0,0,8,0,0.1,0.114285714285714,0,0,1,1
7,22,1,0,22,0,0.041666666666667,0.130952380952381,0.005952380952381,0,1,1
4,8,0,0,8,0,0.028985507246377,0.057971014492754,0,0,1,1
8,18,0,0,18,3,0.047904191616767,0.107784431137725,0,0,1,1
9,10,0,0,10,0,0.083333333333333,0.092592592592593,0,0,1,1
10,21,1,0,21,0,0.04149377593361,0.087136929460581,0.004149377593361,0,1,1
10,18,0,0,18,0,0.080645161290323,0.145161290322581,0,0,1,1
9,18,0,0,18,1,0.042452830188679,0.084905660377359,0,0,1,1
11,30,1,1,30,1,0.056122448979592,0.153061224489796,0.005102040816327,0.005102040816327,1,1
6,13,1,0,13,0,0.052173913043478,0.11304347826087,0.008695652173913,0,1,1
9,20,0,0,20,0,0.047120418848168,0.104712041884817,0,0,1,1
2,7,0,0,7,0,0.023529411764706,0.082352941176471,0,0,1,1
8,23,2,0,23,1,0.04040404040404,0.116161616161616,0.01010101010101,0,1,1
9,23,2,0,23,0,0.046875,0.119791666666667,0.010416666666667,0,1,1
2,6,0,0,6,0,0.020618556701031,0.061855670103093,0,0,1,1
5,7,0,0,7,0,0.063291139240506,0.088607594936709,0,0,1,1
3,11,0,0,11,2,0.029411764705882,0.107843137254902,0,0,1,1
4,13,0,0,13,1,0.024844720496894,0.080745341614907,0,0,1,1
5,18,1,0,18,0,0.042735042735043,0.153846153846154,0.008547008547009,0,1,1
9,20,1,0,20,1,0.04,0.088888888888889,0.004444444444444,0,1,1
5,9,1,0,9,1,0.035460992907801,0.063829787234043,0.00709219858156,0,1,1
5,12,0,0,12,0,0.037878787878788,0.090909090909091,0,0,1,1
8,16,2,0,16,0,0.059701492537313,0.119402985074627,0.014925373134328,0,1,1
2,6,0,0,6,0,0.018348623853211,0.055045871559633,0,0,1,1
5,16,2,0,16,0,0.031645569620253,0.10126582278481,0.012658227848101,0,1,1
2,14,2,0,14,1,0.00952380952381,0.066666666666667,0.00952380952381,0,1,1
2,9,0,1,9,0,0.025316455696203,0.113924050632911,0,0.012658227848101,1,1
2,11,2,0,11,0,0.016,0.088,0.016,0,1,1
8,24,4,0,24,1,0.045714285714286,0.137142857142857,0.022857142857143,0,1,1
6,15,1,0,15,0,0.045454545454546,0.113636363636364,0.007575757575758,0,1,1
3,5,0,0,5,0,0.052631578947368,0.087719298245614,0,0,1,1
6,18,2,0,18,3,0.041958041958042,0.125874125874126,0.013986013986014,0,1,1
7,10,0,0,10,0,0.088607594936709,0.126582278481013,0,0,1,1
6,34,2,0,34,1,0.027906976744186,0.158139534883721,0.009302325581395,0,1,1
3,14,2,0,14,0,0.022388059701493,0.104477611940299,0.014925373134328,0,1,1
5,11,0,0,11,1,0.058823529411765,0.129411764705882,0,0,1,1
10,16,0,0,16,0,0.058823529411765,0.094117647058824,0,0,1,1
6,25,1,0,25,3,0.028708133971292,0.119617224880383,0.004784688995215,0,1,1
7,9,0,0,9,0,0.067961165048544,0.087378640776699,0,0,1,1
8,19,1,0,19,2,0.058823529411765,0.139705882352941,0.007352941176471,0,1,1
5,13,1,0,13,0,0.037037037037037,0.096296296296296,0.007407407407407,0,1,1
3,6,0,0,6,1,0.032608695652174,0.065217391304348,0,0,1,1
2,8,2,0,8,0,0.027397260273973,0.10958904109589,0.027397260273973,0,1,1
1,2,0,0,2,0,0.024390243902439,0.048780487804878,0,0,1,1
2,15,2,0,15,0,0.020833333333333,0.15625,0.020833333333333,0,1,1
2,26,0,0,26,2,0.008928571428571,0.116071428571429,0,0,1,1
14,29,4,0,29,1,0.075268817204301,0.155913978494624,0.021505376344086,0,1,1
9,20,3,0,20,1,0.068181818181818,0.151515151515152,0.022727272727273,0,1,1
17,38,6,0,38,0,0.068825910931174,0.153846153846154,0.024291497975709,0,1,1
16,26,1,0,26,2,0.065573770491803,0.10655737704918,0.004098360655738,0,1,1
7,18,2,0,18,0,0.031963470319635,0.082191780821918,0.009132420091324,0,1,1
11,23,2,0,23,1,0.061111111111111,0.127777777777778,0.011111111111111,0,1,1
4,7,0,0,7,0,0.043478260869565,0.076086956521739,0,0,1,2
2,7,0,0,7,0,0.022222222222222,0.077777777777778,0,0,1,2
3,10,0,0,10,1,0.020689655172414,0.068965517241379,0,0,1,2
4,26,1,1,26,2,0.013745704467354,0.089347079037801,0.003436426116838,0.003436426116838,1,2
15,43,3,0,43,0,0.051194539249147,0.146757679180887,0.010238907849829,0,1,2
10,19,0,0,19,0,0.08130081300813,0.154471544715447,0,0,1,2
9,37,1,0,37,0,0.034749034749035,0.142857142857143,0.003861003861004,0,1,2
4,29,4,1,29,1,0.015267175572519,0.110687022900763,0.015267175572519,0.00381679389313,1,2
7,41,1,0,41,2,0.024221453287197,0.141868512110727,0.003460207612457,0,1,2
1,13,0,1,13,0,0.008333333333333,0.108333333333333,0,0.008333333333333,1,2
5,13,1,0,13,0,0.040983606557377,0.10655737704918,0.008196721311475,0,1,2
3,12,1,0,12,0,0.02027027027027,0.081081081081081,0.006756756756757,0,1,2
3,16,1,0,16,0,0.015706806282723,0.083769633507853,0.005235602094241,0,1,2
5,16,1,0,16,0,0.024875621890547,0.079601990049751,0.004975124378109,0,1,2
9,26,2,0,26,0,0.042056074766355,0.121495327102804,0.009345794392523,0,1,2
11,31,1,0,31,2,0.046025104602511,0.129707112970711,0.00418410041841,0,1,2
17,50,5,0,50,1,0.051987767584098,0.152905198776758,0.015290519877676,0,1,2
11,50,3,1,50,2,0.036065573770492,0.163934426229508,0.00983606557377,0.00327868852459,1,2
3,38,4,0,38,2,0.011320754716981,0.143396226415094,0.015094339622642,0,1,2
11,15,2,0,15,1,0.099099099099099,0.135135135135135,0.018018018018018,0,1,2
5,21,2,0,21,0,0.028089887640449,0.117977528089888,0.01123595505618,0,1,2
4,31,1,0,31,0,0.017391304347826,0.134782608695652,0.004347826086957,0,1,2
5,28,0,1,28,0,0.021367521367521,0.11965811965812,0,0.004273504273504,1,2
5,20,0,0,20,2,0.027472527472528,0.10989010989011,0,0,1,2
3,12,1,0,12,1,0.041095890410959,0.164383561643836,0.013698630136986,0,1,2
5,30,1,0,30,3,0.01984126984127,0.119047619047619,0.003968253968254,0,1,2
6,27,4,0,27,1,0.031914893617021,0.143617021276596,0.021276595744681,0,1,2
9,33,2,0,33,1,0.038461538461539,0.141025641025641,0.008547008547009,0,1,2
7,25,3,0,25,1,0.040229885057471,0.14367816091954,0.017241379310345,0,1,2
7,27,3,0,27,1,0.030434782608696,0.117391304347826,0.01304347826087,0,1,2
7,22,1,0,22,0,0.032258064516129,0.101382488479263,0.004608294930876,0,1,2
4,13,0,0,13,1,0.04,0.13,0,0,1,2
4,18,2,0,18,0,0.031007751937985,0.13953488372093,0.015503875968992,0,1,2
9,35,1,0,35,0,0.037037037037037,0.1440329218107,0.004115226337449,0,1,2
3,11,1,0,11,3,0.027777777777778,0.101851851851852,0.009259259259259,0,1,2
3,13,1,0,13,2,0.024590163934426,0.10655737704918,0.008196721311475,0,1,2
7,30,0,0,30,3,0.033980582524272,0.145631067961165,0,0,1,2
5,24,3,0,24,0,0.021739130434783,0.104347826086957,0.01304347826087,0,1,2
1,21,0,0,21,3,0.005102040816327,0.107142857142857,0,0,1,2
5,12,1,0,12,0,0.05,0.12,0.01,0,1,2
4,25,3,0,25,4,0.020725388601036,0.129533678756477,0.015544041450777,0,1,2
11,30,3,1,30,1,0.039285714285714,0.107142857142857,0.010714285714286,0.003571428571429,1,2
3,23,2,0,23,0,0.018072289156627,0.13855421686747,0.012048192771084,0,1,2
3,12,0,0,12,0,0.018518518518519,0.074074074074074,0,0,1,2
2,30,4,0,30,2,0.009433962264151,0.141509433962264,0.018867924528302,0,1,2
3,9,1,0,9,0,0.036144578313253,0.108433734939759,0.012048192771084,0,1,2
3,35,3,0,35,5,0.011070110701107,0.129151291512915,0.011070110701107,0,1,2
5,27,0,2,27,0,0.025,0.135,0,0.01,1,2
5,28,2,0,28,2,0.027472527472528,0.153846153846154,0.010989010989011,0,1,2
2,23,2,0,23,0,0.010204081632653,0.11734693877551,0.010204081632653,0,1,2
3,10,0,0,10,0,0.025,0.083333333333333,0,0,1,2
12,28,2,0,28,1,0.061224489795918,0.142857142857143,0.010204081632653,0,1,2
9,33,3,0,33,1,0.034351145038168,0.125954198473282,0.011450381679389,0,1,2
21,67,5,0,67,1,0.051851851851852,0.165432098765432,0.012345679012346,0,1,2
9,35,0,0,35,3,0.031141868512111,0.121107266435986,0,0,1,2
7,31,0,0,31,0,0.033333333333333,0.147619047619048,0,0,1,2
12,29,1,0,29,1,0.048780487804878,0.117886178861789,0.004065040650407,0,1,2
7,17,1,0,17,0,0.042682926829268,0.103658536585366,0.00609756097561,0,1,2
6,26,1,0,26,1,0.025641025641026,0.111111111111111,0.004273504273504,0,1,2
8,25,2,0,25,1,0.038277511961723,0.119617224880383,0.009569377990431,0,1,2
6,13,0,0,13,0,0.041379310344828,0.089655172413793,0,0,1,2
12,39,0,0,39,0,0.041522491349481,0.134948096885813,0,0,1,2
7,13,0,0,13,1,0.044025157232704,0.081761006289308,0,0,1,2
4,26,4,0,26,0,0.017543859649123,0.114035087719298,0.017543859649123,0,1,2
6,17,1,0,17,2,0.0375,0.10625,0.00625,0,1,2
4,32,0,1,32,1,0.011594202898551,0.092753623188406,0,0.002898550724638,1,2
9,48,3,0,48,2,0.02093023255814,0.111627906976744,0.006976744186047,0,1,2
10,19,0,0,19,0,0.048309178743961,0.091787439613527,0,0,1,2
7,19,1,0,19,0,0.025735294117647,0.069852941176471,0.003676470588235,0,1,2
11,26,1,0,26,0,0.036184210526316,0.085526315789474,0.003289473684211,0,1,2
7,31,4,0,31,1,0.021943573667712,0.09717868338558,0.012539184952978,0,1,2
7,29,3,0,29,0,0.024054982817869,0.099656357388316,0.010309278350516,0,1,2
10,32,3,0,32,1,0.045045045045045,0.144144144144144,0.013513513513514,0,1,2
6,14,1,0,14,1,0.043478260869565,0.101449275362319,0.007246376811594,0,1,2
3,11,1,0,11,1,0.028571428571429,0.104761904761905,0.00952380952381,0,1,2
9,32,3,0,32,1,0.025862068965517,0.091954022988506,0.008620689655172,0,1,2
2,26,5,0,26,0,0.010309278350516,0.134020618556701,0.025773195876289,0,1,2
5,20,1,0,20,1,0.014577259475219,0.058309037900875,0.002915451895044,0,1,2
5,29,3,0,29,1,0.023148148148148,0.134259259259259,0.013888888888889,0,1,2
5,24,1,0,24,0,0.030864197530864,0.148148148148148,0.006172839506173,0,1,2
2,19,5,1,19,0,0.011834319526627,0.112426035502959,0.029585798816568,0.005917159763314,1,2
2,19,1,2,19,0,0.010582010582011,0.100529100529101,0.005291005291005,0.010582010582011,1,2
4,14,0,0,14,0,0.027397260273973,0.095890410958904,0,0,1,2
3,4,0,0,4,0,0.050847457627119,0.067796610169492,0,0,1,2
4,28,2,0,28,3,0.01673640167364,0.117154811715481,0.00836820083682,0,1,2
3,12,1,0,12,0,0.02,0.08,0.006666666666667,0,1,2
10,27,3,0,27,0,0.046296296296296,0.125,0.013888888888889,0,1,2
4,41,2,0,41,1,0.014035087719298,0.143859649122807,0.007017543859649,0,1,2
4,27,0,0,27,0,0.018348623853211,0.123853211009174,0,0,1,2
5,10,0,1,10,0,0.058139534883721,0.116279069767442,0,0.011627906976744,1,2
3,6,1,0,6,0,0.032608695652174,0.065217391304348,0.010869565217391,0,1,2
10,30,4,0,30,0,0.038167938931298,0.114503816793893,0.015267175572519,0,1,2
11,19,0,0,19,0,0.061111111111111,0.105555555555556,0,0,1,2
5,30,1,0,30,2,0.016181229773463,0.097087378640777,0.003236245954693,0,1,2
19,48,8,0,48,0,0.045130641330166,0.114014251781473,0.019002375296912,0,1,2
14,49,5,0,49,0,0.03899721448468,0.136490250696379,0.013927576601671,0,1,2
9,55,2,1,55,0,0.031914893617021,0.195035460992908,0.00709219858156,0.00354609929078,1,2
9,43,2,0,43,0,0.028753993610224,0.137380191693291,0.006389776357827,0,1,2
19,38,0,0,38,0,0.059561128526646,0.119122257053292,0,0,1,2
17,43,2,1,43,2,0.047752808988764,0.120786516853933,0.00561797752809,0.002808988764045,1,2
11,28,2,0,28,0,0.037800687285223,0.096219931271478,0.006872852233677,0,1,2
14,35,2,1,35,0,0.056,0.14,0.008,0.004,1,2
2,7,0,0,7,0,0.03030303030303,0.106060606060606,0,0,1,2
10,24,1,0,24,1,0.04,0.096,0.004,0,1,2
6,33,4,0,33,1,0.028301886792453,0.155660377358491,0.018867924528302,0,1,2
4,13,3,0,13,0,0.052631578947368,0.171052631578947,0.039473684210526,0,1,2
13,49,8,0,49,1,0.03757225433526,0.141618497109827,0.023121387283237,0,1,2
5,21,0,0,21,1,0.020491803278689,0.086065573770492,0,0,1,2
5,25,1,0,25,3,0.023148148148148,0.115740740740741,0.00462962962963,0,1,2
8,30,0,0,30,2,0.034042553191489,0.127659574468085,0,0,1,2
5,21,2,0,21,0,0.031055900621118,0.130434782608696,0.012422360248447,0,1,2
10,17,1,0,17,0,0.060975609756098,0.103658536585366,0.00609756097561,0,1,2
4,16,2,1,16,0,0.02962962962963,0.118518518518519,0.014814814814815,0.007407407407407,1,2
3,9,0,0,9,1,0.020833333333333,0.0625,0,0,1,2
11,30,3,1,30,0,0.03886925795053,0.106007067137809,0.010600706713781,0.003533568904594,1,2
3,20,2,0,20,1,0.017142857142857,0.114285714285714,0.011428571428571,0,1,2
7,26,2,0,26,0,0.029411764705882,0.109243697478992,0.008403361344538,0,1,2
6,21,4,0,21,0,0.042253521126761,0.147887323943662,0.028169014084507,0,1,2
3,9,0,0,9,0,0.041666666666667,0.125,0,0,1,2
9,19,1,0,19,0,0.063380281690141,0.133802816901408,0.007042253521127,0,1,2
8,22,0,0,22,1,0.03921568627451,0.107843137254902,0,0,1,2
12,27,3,0,27,0,0.053571428571429,0.120535714285714,0.013392857142857,0,1,2
4,12,0,0,12,1,0.025641025641026,0.076923076923077,0,0,1,2
15,38,6,1,38,0,0.052083333333333,0.131944444444444,0.020833333333333,0.003472222222222,1,2
6,33,6,1,33,0,0.026905829596413,0.147982062780269,0.026905829596413,0.004484304932735,1,2
9,20,5,0,20,0,0.053892215568862,0.119760479041916,0.029940119760479,0,1,2
4,13,1,0,13,0,0.038834951456311,0.12621359223301,0.009708737864078,0,1,2
6,15,0,0,15,1,0.035294117647059,0.088235294117647,0,0,1,2
2,16,1,0,16,0,0.013513513513514,0.108108108108108,0.006756756756757,0,1,2
11,45,7,0,45,1,0.028061224489796,0.114795918367347,0.017857142857143,0,1,2
9,33,0,0,33,0,0.041860465116279,0.153488372093023,0,0,1,2
14,29,1,0,29,0,0.052830188679245,0.109433962264151,0.00377358490566,0,1,2
4,25,3,1,25,0,0.018518518518519,0.115740740740741,0.013888888888889,0.00462962962963,1,2
11,24,0,1,24,0,0.056122448979592,0.122448979591837,0,0.005102040816327,1,2
12,52,6,1,52,1,0.041811846689896,0.181184668989547,0.020905923344948,0.003484320557491,1,2
14,35,0,1,35,0,0.051660516605166,0.129151291512915,0,0.003690036900369,1,2
5,27,2,0,27,0,0.020080321285141,0.108433734939759,0.008032128514056,0,1,2
12,32,4,0,32,1,0.04270462633452,0.113879003558719,0.01423487544484,0,1,2
7,23,0,0,23,0,0.042424242424242,0.139393939393939,0,0,1,2
13,47,9,1,47,2,0.046594982078853,0.168458781362007,0.032258064516129,0.003584229390681,1,2
8,30,4,0,30,0,0.038461538461539,0.144230769230769,0.019230769230769,0,1,2
9,23,5,0,23,0,0.052325581395349,0.133720930232558,0.029069767441861,0,1,2
11,31,2,0,31,2,0.05,0.140909090909091,0.009090909090909,0,1,2
2,10,0,1,10,0,0.016949152542373,0.084745762711864,0,0.008474576271186,1,2
3,12,0,0,12,0,0.040540540540541,0.162162162162162,0,0,1,2
9,26,3,0,26,1,0.042253521126761,0.122065727699531,0.014084507042254,0,1,2
4,24,5,0,24,3,0.01673640167364,0.100418410041841,0.02092050209205,0,1,2
11,20,0,0,20,1,0.037542662116041,0.068259385665529,0,0,1,2
5,26,2,1,26,2,0.028409090909091,0.147727272727273,0.011363636363636,0.005681818181818,1,2
4,31,3,1,31,2,0.016129032258065,0.125,0.012096774193548,0.004032258064516,1,2
7,31,1,0,31,0,0.029166666666667,0.129166666666667,0.004166666666667,0,1,2
7,32,1,0,32,1,0.028571428571429,0.130612244897959,0.004081632653061,0,1,2
7,25,1,0,25,0,0.043478260869565,0.15527950310559,0.006211180124224,0,1,2
15,33,2,1,33,2,0.068807339449541,0.151376146788991,0.009174311926606,0.004587155963303,1,2
5,15,1,0,15,1,0.037878787878788,0.113636363636364,0.007575757575758,0,1,2
4,11,1,0,11,0,0.027210884353742,0.074829931972789,0.006802721088435,0,1,2
6,24,1,0,24,0,0.028985507246377,0.115942028985507,0.004830917874396,0,1,2
10,28,2,0,28,2,0.040485829959514,0.11336032388664,0.008097165991903,0,1,2
10,31,3,0,31,0,0.032258064516129,0.1,0.009677419354839,0,1,2
18,30,1,0,30,0,0.047872340425532,0.079787234042553,0.002659574468085,0,1,2
11,43,5,0,43,2,0.030386740331492,0.11878453038674,0.013812154696133,0,1,2
22,42,1,0,42,4,0.06145251396648,0.11731843575419,0.002793296089385,0,1,2
18,36,2,0,36,2,0.066176470588235,0.132352941176471,0.007352941176471,0,1,2
7,39,4,0,39,0,0.02755905511811,0.153543307086614,0.015748031496063,0,1,2
23,51,2,1,51,0,0.054245283018868,0.120283018867925,0.004716981132075,0.002358490566038,1,2
7,26,1,0,26,2,0.02991452991453,0.111111111111111,0.004273504273504,0,1,2
11,25,1,0,25,2,0.048888888888889,0.111111111111111,0.004444444444444,0,1,2
7,30,2,1,30,0,0.023489932885906,0.100671140939597,0.006711409395973,0.003355704697987,1,2
9,27,1,0,27,1,0.03765690376569,0.112970711297071,0.00418410041841,0,1,2
10,30,0,0,30,0,0.042918454935622,0.128755364806867,0,0,1,2
7,30,1,0,30,2,0.026415094339623,0.113207547169811,0.00377358490566,0,1,2
13,42,3,1,42,3,0.049808429118774,0.160919540229885,0.011494252873563,0.003831417624521,1,2
12,27,0,0,27,1,0.044943820224719,0.101123595505618,0,0,1,2
7,33,6,0,33,1,0.030434782608696,0.143478260869565,0.026086956521739,0,1,2
6,22,1,0,22,2,0.032085561497326,0.117647058823529,0.005347593582888,0,1,2
6,16,0,1,16,0,0.034285714285714,0.091428571428571,0,0.005714285714286,1,2
8,27,2,0,27,1,0.039408866995074,0.133004926108374,0.009852216748768,0,1,2
11,35,1,0,35,1,0.041044776119403,0.130597014925373,0.003731343283582,0,1,2
2,27,2,1,27,1,0.010582010582011,0.142857142857143,0.010582010582011,0.005291005291005,1,2
14,33,5,0,33,1,0.058577405857741,0.138075313807531,0.02092050209205,0,1,2
8,23,0,0,23,0,0.038834951456311,0.111650485436893,0,0,1,2
15,34,3,0,34,1,0.054744525547445,0.124087591240876,0.010948905109489,0,1,2
11,40,2,1,40,1,0.035830618892508,0.130293159609121,0.006514657980456,0.003257328990228,1,2
5,25,3,2,25,2,0.022321428571429,0.111607142857143,0.013392857142857,0.008928571428571,1,2
7,23,1,1,23,1,0.039106145251397,0.128491620111732,0.005586592178771,0.005586592178771,1,2
21,56,1,0,56,0,0.046979865771812,0.125279642058166,0.002237136465324,0,1,2
9,44,3,0,44,3,0.032142857142857,0.157142857142857,0.010714285714286,0,1,3
9,41,6,0,41,4,0.03202846975089,0.145907473309609,0.02135231316726,0,1,3
7,31,0,0,31,0,0.02991452991453,0.132478632478632,0,0,1,3
9,48,3,1,48,1,0.026785714285714,0.142857142857143,0.008928571428571,0.00297619047619,1,3
6,39,7,1,39,2,0.025641025641026,0.166666666666667,0.02991452991453,0.004273504273504,1,3
21,56,1,0,56,0,0.053435114503817,0.142493638676845,0.002544529262087,0,1,3
12,45,1,0,45,2,0.034383954154728,0.128939828080229,0.002865329512894,0,1,3
3,9,1,0,9,0,0.02803738317757,0.08411214953271,0.009345794392523,0,1,3
8,29,1,0,29,1,0.038461538461539,0.139423076923077,0.004807692307692,0,1,3
14,56,7,1,56,1,0.035714285714286,0.142857142857143,0.017857142857143,0.002551020408163,1,3
7,22,1,0,22,1,0.035532994923858,0.111675126903553,0.00507614213198,0,1,3
12,39,3,0,39,3,0.03921568627451,0.127450980392157,0.009803921568627,0,1,3
10,29,3,0,29,0,0.032362459546926,0.093851132686084,0.009708737864078,0,1,3
13,30,1,0,30,0,0.039274924471299,0.090634441087613,0.003021148036254,0,1,3
6,32,0,0,32,1,0.017699115044248,0.094395280235988,0,0,1,3
14,62,2,1,62,0,0.028225806451613,0.125,0.004032258064516,0.002016129032258,1,3
