Number Of Letters,Number of Sentences,Number of Tokens,Number of Unique Words,Number of syllables,Number of Tokens with More Than 2 Syllables,Mean Sentence Length in Letters,Mean Sentence Length in Syllables,Mean Sentence Length in Tokens,Number of Word Tokens (excluding punctuation and numbers),Number of Word Tokens (including Punctuation and Numbers),Number of Word Types,Number of Word Types (excluding Punctuation and numbers),Number of Word Types (including Punctuation and Numbers),Number of Word Types with More Than 2 Syllables,Percentage of Tokens with More Than 2 Syllables,Percentage of Word Types with More Than 2 Syllables,Proficiency
466,15,117,59,200,56,31.0666666666667,13.3333333333333,7.8,115,136,75,74,80,49,0.478632478632479,0.597560975609756,1
496,16,114,55,212,67,31,13.25,7.125,112,135,75,74,81,52,0.587719298245614,0.65,1
328,18,83,34,147,41,18.2222222222222,8.16666666666667,4.61111111111111,83,108,50,51,55,31,0.493975903614458,0.563636363636364,1
388,10,99,52,171,50,38.8,17.1,9.9,98,113,68,67,70,47,0.505050505050505,0.671428571428571,1
704,17,162,69,305,88,41.4117647058824,17.9411764705882,9.52941176470588,160,186,100,99,105,72,0.54320987654321,0.685714285714286,1
612,14,144,77,267,74,43.7142857142857,19.0714285714286,10.2857142857143,142,165,98,97,102,67,0.513888888888889,0.644230769230769,1
726,9,165,76,310,99,80.6666666666667,34.4444444444444,18.3333333333333,162,193,104,102,109,75,0.6,0.700934579439252,1
662,12,156,81,288,87,55.1666666666667,24,13,155,185,103,104,110,72,0.557692307692308,0.660550458715596,1
617,11,151,63,260,76,56.0909090909091,23.6363636363636,13.7272727272727,150,179,86,87,90,55,0.503311258278146,0.597826086956522,1
460,19,109,43,198,59,24.2105263157895,10.4210526315789,5.73684210526316,108,132,67,66,72,44,0.541284403669725,0.611111111111111,1
337,10,85,38,158,42,33.7,15.8,8.5,85,95,51,52,54,35,0.494117647058824,0.636363636363636,1
530,11,113,48,231,72,48.1818181818182,21,10.2727272727273,113,129,71,71,73,57,0.63716814159292,0.74025974025974,1
1124,27,273,73,499,153,41.6296296296296,18.4814814814815,10.1111111111111,273,314,123,124,127,89,0.56043956043956,0.664179104477612,1
680,23,149,84,291,85,29.5652173913043,12.6521739130435,6.47826086956522,149,181,104,105,107,73,0.570469798657718,0.663636363636364,1
460,15,107,67,194,63,30.6666666666667,12.9333333333333,7.13333333333333,107,129,81,82,87,57,0.588785046728972,0.678571428571429,1
612,16,160,80,273,78,38.25,17.0625,10,160,183,100,101,104,70,0.4875,0.648148148148148,1
525,19,133,57,226,72,27.6315789473684,11.8947368421053,7,133,159,81,81,85,62,0.541353383458647,0.729411764705882,1
649,13,145,70,276,84,49.9230769230769,21.2307692307692,11.1538461538462,145,175,93,95,98,71,0.579310344827586,0.696078431372549,1
754,22,185,68,319,98,34.2727272727273,14.5,8.40909090909091,183,222,102,101,106,75,0.52972972972973,0.675675675675676,1
599,24,144,70,260,86,24.9583333333333,10.8333333333333,6,144,177,93,95,99,70,0.597222222222222,0.686274509803922,1
619,20,135,58,269,76,30.95,13.45,6.75,134,163,82,82,85,62,0.562962962962963,0.688888888888889,1
567,15,129,55,242,73,37.8,16.1333333333333,8.6,128,152,77,77,80,58,0.565891472868217,0.698795180722892,1
700,31,171,75,305,89,22.5806451612903,9.83870967741935,5.51612903225806,171,201,104,105,109,74,0.52046783625731,0.643478260869565,1
509,15,117,58,213,72,33.9333333333333,14.2,7.8,117,141,78,78,81,62,0.615384615384615,0.729411764705882,1
724,20,164,61,309,88,36.2,15.45,8.2,162,192,91,90,97,64,0.536585365853659,0.64,1
515,14,126,56,221,70,36.7857142857143,15.7857142857143,9,124,152,79,79,84,55,0.555555555555556,0.654761904761905,1
376,20,107,38,166,48,18.8,8.3,5.35,106,133,62,62,66,37,0.448598130841121,0.560606060606061,1
838,33,211,92,364,113,25.3939393939394,11.030303030303,6.39393939393939,207,249,122,119,127,85,0.535545023696682,0.653846153846154,1
522,14,120,69,224,69,37.2857142857143,16,8.57142857142857,120,147,86,87,90,63,0.575,0.67741935483871,1
401,10,111,46,174,47,40.1,17.4,11.1,110,132,67,67,75,37,0.423423423423423,0.513888888888889,1
412,11,100,52,185,57,37.4545454545455,16.8181818181818,9.09090909090909,99,112,69,68,72,50,0.57,0.694444444444444,1
679,18,158,85,293,90,37.7222222222222,16.2777777777778,8.77777777777778,158,191,104,105,110,82,0.569620253164557,0.725663716814159,1
412,5,100,38,184,49,82.4,36.8,20,100,111,55,56,58,36,0.49,0.631578947368421,1
1011,23,257,88,422,125,43.9565217391304,18.3478260869565,11.1739130434783,253,292,132,130,138,94,0.486381322957198,0.643835616438356,1
350,7,90,44,153,48,50,21.8571428571429,12.8571428571429,90,101,59,59,62,39,0.533333333333333,0.639344262295082,1
796,13,192,70,360,112,61.2307692307692,27.6923076923077,14.7692307692308,189,216,106,103,109,83,0.583333333333333,0.741071428571429,1
187,5,43,25,83,24,37.4,16.6,8.6,43,48,33,33,36,20,0.558139534883721,0.571428571428571,1
331,8,81,45,143,42,41.375,17.875,10.125,81,94,56,56,59,35,0.518518518518518,0.614035087719298,1
663,9,145,67,296,80,73.6666666666667,32.8888888888889,16.1111111111111,143,159,91,90,94,66,0.551724137931034,0.702127659574468,1
1034,12,235,59,437,124,86.1666666666667,36.4166666666667,19.5833333333333,232,260,108,108,114,79,0.527659574468085,0.675213675213675,1
566,9,129,66,242,73,62.8888888888889,26.8888888888889,14.3333333333333,129,147,84,85,89,59,0.565891472868217,0.670454545454545,1
964,10,203,94,416,128,96.4,41.6,20.3,203,230,125,126,129,99,0.630541871921182,0.761538461538461,1
352,11,95,37,160,48,32,14.5454545454545,8.63636363636364,95,108,52,53,55,36,0.505263157894737,0.642857142857143,1
580,12,148,74,248,73,48.3333333333333,20.6666666666667,12.3333333333333,146,170,93,92,96,64,0.493243243243243,0.646464646464647,1
655,11,141,70,284,83,59.5454545454545,25.8181818181818,12.8181818181818,141,172,92,93,99,69,0.588652482269504,0.696969696969697,1
864,13,204,87,375,101,66.4615384615385,28.8461538461538,15.6923076923077,204,226,113,114,117,83,0.495098039215686,0.697478991596639,1
507,11,117,53,222,61,46.0909090909091,20.1818181818182,10.6363636363636,116,135,71,70,73,50,0.521367521367521,0.666666666666667,1
991,14,231,74,444,126,70.7857142857143,31.7142857142857,16.5,227,258,117,113,120,90,0.545454545454545,0.731707317073171,1
699,10,154,78,307,82,69.9,30.7,15.4,154,176,95,96,98,72,0.532467532467532,0.742268041237113,1
449,8,111,47,198,60,56.125,24.75,13.875,111,123,66,67,69,46,0.540540540540541,0.63013698630137,1
762,14,194,94,349,107,54.4285714285714,24.9285714285714,13.8571428571429,194,218,118,119,123,94,0.551546391752577,0.740157480314961,1
606,7,140,58,260,75,86.5714285714286,37.1428571428571,20,140,152,78,78,80,59,0.535714285714286,0.728395061728395,1
214,7,53,32,95,28,30.5714285714286,13.5714285714286,7.57142857142857,52,59,40,39,41,25,0.528301886792453,0.609756097560976,1
653,16,148,61,297,81,40.8125,18.5625,9.25,148,168,82,83,85,67,0.547297297297297,0.744444444444444,1
263,8,70,26,123,35,32.875,15.375,8.75,70,81,39,39,41,26,0.5,0.634146341463415,1
750,19,168,90,316,102,39.4736842105263,16.6315789473684,8.8421052631579,168,194,114,116,120,85,0.607142857142857,0.702479338842975,1
513,24,138,49,227,66,21.375,9.45833333333333,5.75,138,172,76,76,81,51,0.478260869565217,0.614457831325301,1
702,14,167,67,309,90,50.1428571428571,22.0714285714286,11.9285714285714,167,185,94,95,99,71,0.538922155688623,0.702970297029703,1
416,7,108,45,186,52,59.4285714285714,26.5714285714286,15.4285714285714,106,116,62,60,64,45,0.481481481481481,0.714285714285714,1
1147,15,241,97,516,136,76.4666666666667,34.4,16.0666666666667,241,271,131,132,134,107,0.564315352697095,0.77536231884058,1
544,17,124,62,239,69,32,14.0588235294118,7.29411764705882,124,146,82,83,88,59,0.556451612903226,0.670454545454545,1
895,19,212,77,398,112,47.1052631578947,20.9473684210526,11.1578947368421,208,242,110,110,114,86,0.528301886792453,0.722689075630252,1
883,14,196,78,376,109,63.0714285714286,26.8571428571429,14,194,228,113,112,117,78,0.556122448979592,0.666666666666667,1
529,9,115,57,241,65,58.7777777777778,26.7777777777778,12.7777777777778,115,134,74,74,80,58,0.565217391304348,0.763157894736842,1
852,11,191,53,383,87,77.4545454545455,34.8181818181818,17.3636363636364,191,215,82,84,86,66,0.455497382198953,0.741573033707865,1
437,11,85,55,182,53,39.7272727272727,16.5454545454545,7.72727272727273,83,107,66,65,71,50,0.623529411764706,0.694444444444444,1
824,14,198,62,361,103,58.8571428571429,25.7857142857143,14.1428571428571,198,220,92,93,95,69,0.52020202020202,0.676470588235294,1
804,16,192,71,360,101,50.25,22.5,12,192,224,101,103,107,76,0.526041666666667,0.703703703703704,1
420,10,97,33,184,45,42,18.4,9.7,97,114,47,48,50,29,0.463917525773196,0.568627450980392,1
347,12,79,42,149,39,28.9166666666667,12.4166666666667,6.58333333333333,79,96,53,54,60,37,0.493670886075949,0.637931034482759,1
467,13,102,46,204,57,35.9230769230769,15.6923076923077,7.84615384615385,102,118,66,66,70,45,0.558823529411765,0.652173913043478,1
757,18,161,76,334,96,42.0555555555556,18.5555555555556,8.94444444444444,161,188,99,101,104,76,0.596273291925466,0.716981132075472,1
576,17,117,56,242,64,33.8823529411765,14.2352941176471,6.88235294117647,117,136,73,74,79,50,0.547008547008547,0.649350649350649,1
1064,23,225,90,455,130,46.2608695652174,19.7826086956522,9.78260869565217,225,261,118,119,122,98,0.577777777777778,0.777777777777778,1
561,13,141,64,249,74,43.1538461538462,19.1538461538462,10.8461538461538,141,163,82,83,88,61,0.524822695035461,0.701149425287356,1
619,12,132,59,265,72,51.5833333333333,22.0833333333333,11,130,154,81,80,85,56,0.545454545454545,0.666666666666667,1
612,15,134,62,263,76,40.8,17.5333333333333,8.93333333333333,134,152,84,85,89,63,0.567164179104478,0.692307692307692,1
454,19,109,57,196,56,23.8947368421053,10.3157894736842,5.73684210526316,109,136,70,71,76,49,0.513761467889908,0.628205128205128,1
730,17,158,51,311,95,42.9411764705882,18.2941176470588,9.29411764705882,158,193,79,81,83,61,0.60126582278481,0.709302325581395,1
921,23,210,85,398,118,40.0434782608696,17.304347826087,9.1304347826087,210,252,118,121,124,89,0.561904761904762,0.684615384615385,1
370,10,79,48,162,50,37,16.2,7.9,79,97,61,62,65,44,0.632911392405063,0.698412698412698,1
555,24,125,68,231,70,23.125,9.625,5.20833333333333,123,151,87,86,92,58,0.56,0.623655913978495,1
711,9,175,58,313,102,79,34.7777777777778,19.4444444444444,175,205,90,91,93,69,0.582857142857143,0.71875,1
560,15,132,63,237,72,37.3333333333333,15.8,8.8,131,155,88,88,93,59,0.545454545454545,0.641304347826087,1
219,6,57,35,96,30,36.5,16,9.5,57,65,43,43,49,28,0.526315789473684,0.651162790697674,1
616,12,143,68,274,83,51.3333333333333,22.8333333333333,11.9166666666667,142,163,89,89,94,68,0.58041958041958,0.723404255319149,1
320,5,79,47,142,45,64,28.4,15.8,79,92,57,58,61,40,0.569620253164557,0.666666666666667,1
907,7,215,79,401,117,129.571428571429,57.2857142857143,30.7142857142857,215,252,114,117,119,86,0.544186046511628,0.704918032786885,1
629,11,134,57,254,72,57.1818181818182,23.0909090909091,12.1818181818182,134,154,78,81,83,59,0.537313432835821,0.694117647058824,1
338,7,85,42,149,39,48.2857142857143,21.2857142857143,12.1428571428571,81,95,60,57,63,34,0.458823529411765,0.53125,1
663,19,170,56,300,89,34.8947368421053,15.7894736842105,8.94736842105263,169,193,83,83,86,61,0.523529411764706,0.685393258426966,1
801,26,209,69,345,106,30.8076923076923,13.2692307692308,8.03846153846154,209,242,106,107,110,77,0.507177033492823,0.669565217391304,1
395,10,103,45,170,51,39.5,17,10.3,101,120,66,65,69,42,0.495145631067961,0.591549295774648,1
534,8,136,58,231,65,66.75,28.875,17,136,156,77,78,80,51,0.477941176470588,0.621951219512195,1
561,14,135,68,236,79,40.0714285714286,16.8571428571429,9.64285714285714,135,163,89,90,93,63,0.585185185185185,0.684782608695652,1
440,13,92,43,183,55,33.8461538461538,14.0769230769231,7.07692307692308,91,111,59,59,63,48,0.597826086956522,0.761904761904762,1
323,12,73,42,131,39,26.9166666666667,10.9166666666667,6.08333333333333,73,86,52,52,55,34,0.534246575342466,0.653846153846154,1
175,4,41,22,70,23,43.75,17.5,10.25,41,47,28,29,31,17,0.560975609756098,0.586206896551724,1
400,11,96,54,174,54,36.3636363636364,15.8181818181818,8.72727272727273,96,114,67,67,70,47,0.5625,0.681159420289855,1
955,19,224,85,423,120,50.2631578947368,22.2631578947368,11.7894736842105,223,266,116,117,121,89,0.535714285714286,0.712,1
768,12,186,61,326,104,64,27.1666666666667,15.5,186,214,95,96,98,71,0.559139784946237,0.71,1
590,11,132,60,245,84,53.6363636363636,22.2727272727273,12,132,156,81,82,84,68,0.636363636363636,0.80952380952381,1
1000,14,247,65,425,135,71.4285714285714,30.3571428571429,17.6428571428571,247,286,106,107,111,79,0.546558704453441,0.692982456140351,1
1147,12,244,87,488,149,95.5833333333333,40.6666666666667,20.3333333333333,244,282,130,131,134,102,0.610655737704918,0.733812949640288,1
940,12,219,91,404,124,78.3333333333333,33.6666666666667,18.25,219,262,125,127,131,98,0.5662100456621,0.742424242424242,1
735,15,180,49,308,96,49,20.5333333333333,12,180,208,86,87,89,64,0.533333333333333,0.688172043010753,1
448,13,92,62,196,69,34.4615384615385,15.0769230769231,7.07692307692308,92,119,74,74,79,60,0.75,0.789473684210526,2
357,11,90,42,160,50,32.4545454545455,14.5454545454545,8.18181818181818,90,108,61,61,65,43,0.555555555555556,0.651515151515151,2
577,22,145,66,249,77,26.2272727272727,11.3181818181818,6.59090909090909,144,179,89,89,95,61,0.531034482758621,0.628865979381443,2
1243,31,291,99,549,152,40.0967741935484,17.7096774193548,9.38709677419355,285,338,147,145,156,116,0.52233676975945,0.725,2
1359,13,293,103,582,171,104.538461538462,44.7692307692308,22.5384615384615,293,331,152,154,156,129,0.583617747440273,0.796296296296296,2
503,11,123,69,226,69,45.7272727272727,20.5454545454545,11.1818181818182,123,142,86,87,90,63,0.560975609756098,0.684782608695652,2
1198,21,259,106,508,136,57.0476190476191,24.1904761904762,12.3333333333333,258,296,144,143,149,110,0.525096525096525,0.733333333333333,2
1080,21,262,91,488,131,51.4285714285714,23.2380952380952,12.4761904761905,260,299,132,131,137,98,0.5,0.7,2
1223,21,289,62,529,149,58.2380952380952,25.1904761904762,13.7619047619048,289,342,116,117,124,91,0.515570934256055,0.722222222222222,2
507,9,120,52,223,66,56.3333333333333,24.7777777777778,13.3333333333333,120,135,70,72,74,54,0.55,0.72,2
485,13,122,65,215,62,37.3076923076923,16.5384615384615,9.38461538461539,120,141,83,82,87,56,0.508196721311475,0.636363636363636,2
553,18,148,83,246,74,30.7222222222222,13.6666666666667,8.22222222222222,145,172,100,98,105,66,0.5,0.628571428571429,2
900,16,191,84,416,107,56.25,26,11.9375,188,220,112,111,118,88,0.56020942408377,0.752136752136752,2
902,11,201,72,413,110,82,37.5454545454545,18.2727272727273,201,231,97,99,101,81,0.54726368159204,0.757009345794392,2
1118,14,214,104,482,130,79.8571428571429,34.4285714285714,15.2857142857143,214,248,131,132,134,115,0.607476635514019,0.815602836879433,2
1129,19,239,106,484,149,59.4210526315789,25.4736842105263,12.5789473684211,239,272,141,142,145,117,0.623430962343096,0.769736842105263,2
1459,19,327,105,632,176,76.7894736842105,33.2631578947368,17.2105263157895,327,369,152,156,161,127,0.53822629969419,0.774390243902439,2
1286,17,305,66,572,158,75.6470588235294,33.6470588235294,17.9411764705882,305,365,112,114,121,89,0.518032786885246,0.735537190082645,2
1246,13,265,120,545,163,95.8461538461538,41.9230769230769,20.3846153846154,265,301,154,156,158,129,0.615094339622641,0.791411042944785,2
438,11,111,56,200,64,39.8181818181818,18.1818181818182,10.0909090909091,111,125,73,73,78,58,0.576576576576577,0.763157894736842,2
839,18,178,68,366,106,46.6111111111111,20.3333333333333,9.88888888888889,176,206,99,98,103,78,0.595505617977528,0.75,2
1119,14,230,74,487,131,79.9285714285714,34.7857142857143,16.4285714285714,230,268,113,115,117,90,0.569565217391304,0.743801652892562,2
1109,13,234,93,503,133,85.3076923076923,38.6923076923077,18,234,272,120,120,122,102,0.568376068376068,0.816,2
761,8,182,64,335,96,95.125,41.875,22.75,180,206,95,94,98,70,0.527472527472527,0.7,2
339,3,73,36,147,40,113,49,24.3333333333333,73,82,47,48,50,31,0.547945205479452,0.63265306122449,2
1165,13,252,99,499,136,89.6153846153846,38.3846153846154,19.3846153846154,251,291,139,140,145,109,0.53968253968254,0.741496598639456,2
865,10,188,77,367,112,86.5,36.7,18.8,188,214,103,106,112,80,0.595744680851064,0.714285714285714,2
1177,11,234,97,507,140,107,46.0909090909091,21.2727272727273,234,276,135,139,143,107,0.598290598290598,0.737931034482759,2
819,6,174,83,353,110,136.5,58.8333333333333,29,174,193,107,109,111,86,0.632183908045977,0.774774774774775,2
1076,14,230,92,477,133,76.8571428571429,34.0714285714286,16.4285714285714,228,266,127,126,133,99,0.578260869565217,0.744360902255639,2
988,12,217,75,414,116,82.3333333333333,34.5,18.0833333333333,216,244,109,110,114,83,0.534562211981567,0.734513274336283,2
408,9,100,57,177,52,45.3333333333333,19.6666666666667,11.1111111111111,100,115,72,72,74,49,0.52,0.653333333333333,2
584,13,129,53,239,72,44.9230769230769,18.3846153846154,9.92307692307692,129,153,75,76,78,54,0.558139534883721,0.666666666666667,2
983,24,243,98,431,129,40.9583333333333,17.9583333333333,10.125,242,282,131,131,136,100,0.530864197530864,0.699300699300699,2
507,10,108,51,225,70,50.7,22.5,10.8,107,125,68,67,70,57,0.648148148148148,0.791666666666667,2
601,13,122,44,253,71,46.2307692307692,19.4615384615385,9.38461538461539,121,138,69,69,72,53,0.581967213114754,0.688311688311688,2
910,18,206,86,394,116,50.5555555555556,21.8888888888889,11.4444444444444,203,240,120,118,127,89,0.563106796116505,0.717741935483871,2
1037,19,230,82,438,124,54.5789473684211,23.0526315789474,12.1052631578947,226,254,122,121,128,89,0.539130434782609,0.674242424242424,2
811,22,196,72,354,102,36.8636363636364,16.0909090909091,8.90909090909091,190,231,107,102,111,79,0.520408163265306,0.68695652173913,2
452,5,100,55,198,60,90.4,39.6,20,100,113,71,71,74,53,0.6,0.726027397260274,2
819,18,193,80,350,104,45.5,19.4444444444444,10.7222222222222,191,234,113,112,117,80,0.538860103626943,0.661157024793388,2
1267,20,280,109,559,149,63.35,27.95,14,280,310,139,141,143,113,0.532142857142857,0.763513513513513,2
807,16,166,60,332,94,50.4375,20.75,10.375,164,186,86,87,92,62,0.566265060240964,0.666666666666667,2
800,18,162,84,335,95,44.4444444444444,18.6111111111111,9,159,188,107,106,113,78,0.58641975308642,0.696428571428571,2
962,14,212,90,419,124,68.7142857142857,29.9285714285714,15.1428571428571,212,250,125,128,132,102,0.584905660377358,0.728571428571429,2
342,4,83,34,153,43,85.5,38.25,20.75,83,97,50,50,52,35,0.518072289156627,0.7,2
1126,11,271,81,495,141,102.363636363636,45,24.6363636363636,271,309,127,129,133,92,0.520295202952029,0.676470588235294,2
970,12,200,81,423,114,80.8333333333333,35.25,16.6666666666667,200,231,110,115,117,92,0.57,0.760330578512397,2
842,13,182,80,360,107,64.7692307692308,27.6923076923077,14,178,213,110,109,116,87,0.587912087912088,0.75,2
946,12,196,86,411,114,78.8333333333333,34.25,16.3333333333333,196,230,115,116,119,90,0.581632653061224,0.75,2
566,11,120,65,239,65,51.4545454545455,21.7272727272727,10.9090909090909,118,133,81,79,84,62,0.541666666666667,0.746987951807229,2
896,13,196,84,393,110,68.9230769230769,30.2307692307692,15.0769230769231,194,219,113,114,119,85,0.561224489795918,0.714285714285714,2
1204,12,262,105,529,144,100.333333333333,44.0833333333333,21.8333333333333,262,291,139,142,144,109,0.549618320610687,0.731543624161074,2
1683,26,405,92,749,206,64.7307692307692,28.8076923076923,15.5769230769231,405,449,143,147,149,120,0.508641975308642,0.759493670886076,2
1276,14,289,73,561,149,91.1428571428571,40.0714285714286,20.6428571428571,289,318,117,121,123,94,0.515570934256055,0.723076923076923,2
1003,12,210,83,430,121,83.5833333333333,35.8333333333333,17.5,210,235,117,119,121,94,0.576190476190476,0.746031746031746,2
1069,15,246,107,499,126,71.2666666666667,33.2666666666667,16.4,246,284,136,137,142,108,0.51219512195122,0.755244755244755,2
715,7,164,68,325,97,102.142857142857,46.4285714285714,23.4285714285714,164,179,92,92,94,77,0.591463414634146,0.819148936170213,2
1035,11,234,103,455,126,94.0909090909091,41.3636363636364,21.2727272727273,234,265,133,134,136,106,0.538461538461538,0.762589928057554,2
969,14,209,80,417,119,69.2142857142857,29.7857142857143,14.9285714285714,209,229,115,116,118,94,0.569377990430622,0.758064516129032,2
568,12,145,51,274,76,47.3333333333333,22.8333333333333,12.0833333333333,145,168,73,74,79,58,0.524137931034483,0.725,2
1211,17,289,97,550,154,71.2352941176471,32.3529411764706,17,289,327,142,143,146,118,0.532871972318339,0.781456953642384,2
610,8,159,53,282,86,76.25,35.25,19.875,159,178,76,77,79,59,0.540880503144654,0.728395061728395,2
1017,15,228,83,434,132,67.8,28.9333333333333,15.2,228,259,121,122,126,98,0.578947368421053,0.75968992248062,2
652,12,160,64,289,87,54.3333333333333,24.0833333333333,13.3333333333333,160,183,93,94,96,75,0.54375,0.75,2
1611,21,345,124,710,195,76.7142857142857,33.8095238095238,16.4285714285714,345,385,167,170,173,147,0.565217391304348,0.825842696629214,2
1948,32,430,144,876,245,60.875,27.375,13.4375,429,498,196,200,204,174,0.569767441860465,0.809302325581395,2
899,9,207,74,405,107,99.8888888888889,45,23,207,232,103,104,107,80,0.516908212560386,0.747663551401869,2
1275,14,272,128,585,147,91.0714285714286,41.7857142857143,19.4285714285714,271,299,152,151,155,128,0.540441176470588,0.810126582278481,2
1501,12,304,113,659,164,125.083333333333,54.9166666666667,25.3333333333333,304,336,147,148,150,129,0.539473684210526,0.821656050955414,2
1542,26,319,123,673,196,59.3076923076923,25.8846153846154,12.2692307692308,317,377,173,175,182,142,0.614420062695925,0.767567567567568,2
1354,14,291,109,607,166,96.7142857142857,43.3571428571429,20.7857142857143,291,328,147,149,153,128,0.570446735395189,0.831168831168831,2
1070,14,222,77,476,130,76.4285714285714,34,15.8571428571429,222,254,114,115,119,92,0.585585585585586,0.766666666666667,2
638,11,138,65,283,81,58,25.7272727272727,12.5454545454545,138,158,87,87,89,63,0.58695652173913,0.7,2
489,8,105,45,214,58,61.125,26.75,13.125,105,121,61,62,64,48,0.552380952380952,0.716417910447761,2
1511,20,348,96,674,187,75.55,33.7,17.4,338,386,159,151,165,131,0.53735632183908,0.784431137724551,2
837,10,194,84,359,104,83.7,35.9,19.4,194,221,112,114,118,80,0.536082474226804,0.689655172413793,2
1686,19,343,151,717,197,88.7368421052632,37.7368421052632,18.0526315789474,337,392,192,192,201,164,0.574344023323615,0.803921568627451,2
992,13,216,94,439,124,76.3076923076923,33.7692307692308,16.6153846153846,216,250,125,127,131,100,0.574074074074074,0.757575757575758,2
675,11,162,58,304,81,61.3636363636364,27.6363636363636,14.7272727272727,162,194,83,84,86,59,0.5,0.662921348314607,2
787,9,169,57,347,99,87.4444444444444,38.5555555555556,18.7777777777778,169,189,83,84,87,67,0.585798816568047,0.770114942528736,2
773,13,189,75,350,91,59.4615384615385,26.9230769230769,14.5384615384615,189,213,102,104,107,74,0.481481481481481,0.672727272727273,2
610,9,146,57,274,62,67.7777777777778,30.4444444444444,16.2222222222222,145,167,78,78,82,53,0.424657534246575,0.63855421686747,2
231,6,59,31,102,35,38.5,17,9.83333333333333,59,68,41,41,43,29,0.593220338983051,0.644444444444444,2
1035,14,239,76,453,124,73.9285714285714,32.3571428571429,17.0714285714286,239,270,112,114,119,92,0.518828451882845,0.760330578512397,2
615,14,150,59,272,84,43.9285714285714,19.4285714285714,10.7142857142857,150,166,80,82,84,64,0.56,0.752941176470588,2
948,15,216,90,424,116,63.2,28.2666666666667,14.4,216,248,115,118,122,93,0.537037037037037,0.75,2
1382,22,285,106,602,167,62.8181818181818,27.3636363636364,12.9545454545455,285,338,152,154,159,125,0.585964912280702,0.753012048192771,2
