Number of Connectives: Mendes Additive Connectives,Number of Connectives: Mendes All Connectives,Number of Connectives: Mendes Causal Connectives,Number of Connectives: Mendes Concessive Connectives,Number of Connectives: Mendes Single-Word Connectives,Number of Connectives: Mendes Temporal Connectives,Cohesive Complexity Feature: Mendes Additive Connectives per Token,Cohesive Complexity Feature: Mendes All Connectives per Token,Cohesive Complexity Feature: Mendes Causal Connectives per Token,Cohesive Complexity Feature: Mendes Concessive Connectives per Token,Cohesive Complexity Feature: Mendes Single-Word Connectives per Connective,Level
13,48,1,0,48,1,0.037790697674419,0.13953488372093,0.002906976744186,0,1,1
11,38,3,0,38,2,0.029490616621984,0.101876675603217,0.008042895442359,0,1,1
10,32,1,0,32,1,0.027472527472528,0.087912087912088,0.002747252747253,0,1,1
10,34,4,0,34,2,0.028169014084507,0.095774647887324,0.011267605633803,0,1,1
8,30,2,0,30,0,0.023188405797101,0.08695652173913,0.005797101449275,0,1,1
14,37,3,0,37,1,0.029227557411274,0.077244258872651,0.006263048016701,0,1,1
18,39,1,0,39,1,0.053097345132743,0.115044247787611,0.002949852507375,0,1,1
19,48,3,0,48,3,0.053221288515406,0.134453781512605,0.008403361344538,0,1,1
11,36,0,0,36,1,0.031700288184438,0.103746397694524,0,0,1,1
23,39,2,0,39,2,0.056930693069307,0.096534653465347,0.004950495049505,0,1,1
11,32,4,0,32,0,0.028947368421053,0.08421052631579,0.010526315789474,0,1,1
11,31,2,0,31,2,0.03072625698324,0.08659217877095,0.005586592178771,0,1,1
13,37,6,0,37,1,0.038123167155425,0.108504398826979,0.017595307917889,0,1,1
6,30,4,0,30,0,0.018237082066869,0.091185410334347,0.012158054711246,0,1,1
12,39,9,0,39,0,0.036253776435045,0.117824773413897,0.027190332326284,0,1,1
5,30,0,0,30,2,0.014662756598241,0.087976539589443,0,0,1,1
6,30,3,0,30,0,0.017341040462428,0.086705202312139,0.008670520231214,0,1,1
9,31,2,0,31,1,0.027027027027027,0.093093093093093,0.006006006006006,0,1,1
8,32,1,0,32,0,0.022857142857143,0.091428571428571,0.002857142857143,0,1,1
19,38,1,0,38,1,0.050938337801609,0.101876675603217,0.002680965147453,0,1,1
8,29,1,0,29,2,0.02332361516035,0.084548104956268,0.002915451895044,0,1,1
9,32,3,0,32,1,0.027190332326284,0.096676737160121,0.009063444108761,0,1,1
9,34,1,0,34,3,0.026785714285714,0.101190476190476,0.00297619047619,0,1,1
6,37,1,0,37,3,0.018181818181818,0.112121212121212,0.003030303030303,0,1,1
9,32,4,0,32,1,0.026470588235294,0.094117647058824,0.011764705882353,0,1,1
15,28,1,0,28,2,0.043478260869565,0.081159420289855,0.002898550724638,0,1,1
12,44,1,0,44,1,0.033707865168539,0.123595505617978,0.002808988764045,0,1,1
16,51,2,0,51,1,0.045325779036827,0.144475920679887,0.005665722379603,0,1,1
10,44,4,0,44,0,0.024509803921569,0.107843137254902,0.009803921568627,0,1,1
9,31,0,0,31,1,0.026392961876833,0.090909090909091,0,0,1,1
12,32,1,0,32,0,0.033519553072626,0.089385474860335,0.002793296089385,0,1,1
11,40,5,0,40,0,0.030640668523677,0.11142061281337,0.013927576601671,0,1,1
13,30,0,0,30,0,0.035616438356164,0.082191780821918,0,0,1,1
9,41,2,0,41,2,0.025423728813559,0.115819209039548,0.005649717514124,0,1,1
12,46,0,0,46,0,0.032432432432432,0.124324324324324,0,0,1,1
12,42,5,0,42,0,0.033613445378151,0.117647058823529,0.014005602240896,0,1,1
13,26,0,0,26,0,0.038235294117647,0.076470588235294,0,0,1,1
4,30,1,0,30,2,0.012269938650307,0.092024539877301,0.003067484662577,0,1,1
14,59,3,0,59,1,0.026666666666667,0.112380952380952,0.005714285714286,0,1,1
14,49,2,0,49,2,0.040816326530612,0.142857142857143,0.005830903790087,0,1,1
12,54,4,0,54,3,0.036585365853659,0.164634146341463,0.01219512195122,0,1,1
15,31,2,0,31,1,0.045592705167173,0.094224924012158,0.006079027355623,0,1,1
9,37,1,0,37,1,0.026162790697674,0.107558139534884,0.002906976744186,0,1,1
13,41,1,0,41,1,0.037249283667622,0.117478510028653,0.002865329512894,0,1,1
5,32,2,0,32,0,0.01432664756447,0.091690544412607,0.005730659025788,0,1,1
8,33,0,0,33,2,0.023952095808383,0.098802395209581,0,0,1,1
12,25,2,0,25,0,0.031830238726791,0.06631299734748,0.005305039787798,0,1,1
17,40,5,0,40,0,0.048158640226629,0.113314447592068,0.014164305949009,0,1,1
17,39,2,0,39,0,0.045576407506702,0.10455764075067,0.005361930294906,0,1,1
23,67,3,0,67,0,0.041218637992832,0.120071684587814,0.005376344086022,0,1,1
24,76,6,0,76,3,0.041666666666667,0.131944444444444,0.010416666666667,0,1,1
14,38,1,0,38,0,0.040462427745665,0.109826589595376,0.002890173410405,0,1,1
13,39,0,0,39,0,0.035714285714286,0.107142857142857,0,0,1,1
12,27,1,0,27,0,0.035190615835777,0.079178885630499,0.002932551319648,0,1,1
12,23,2,0,23,0,0.036585365853659,0.070121951219512,0.00609756097561,0,1,1
9,46,1,0,46,1,0.026706231454006,0.136498516320475,0.002967359050445,0,1,1
15,41,3,0,41,1,0.042253521126761,0.115492957746479,0.008450704225352,0,1,1
9,40,4,0,40,0,0.025862068965517,0.114942528735632,0.011494252873563,0,1,1
17,52,3,0,52,2,0.052469135802469,0.160493827160494,0.009259259259259,0,1,1
7,36,2,0,36,0,0.017412935323383,0.08955223880597,0.004975124378109,0,1,1
11,49,2,0,49,0,0.025462962962963,0.113425925925926,0.00462962962963,0,1,1
14,40,2,0,40,0,0.040579710144928,0.115942028985507,0.005797101449275,0,1,1
11,36,1,0,36,2,0.032738095238095,0.107142857142857,0.00297619047619,0,1,1
9,36,3,0,36,1,0.025280898876405,0.101123595505618,0.008426966292135,0,1,1
10,34,3,0,34,1,0.03003003003003,0.102102102102102,0.009009009009009,0,1,1
8,33,2,0,33,2,0.024539877300614,0.101226993865031,0.006134969325153,0,1,1
12,28,1,0,28,2,0.034285714285714,0.08,0.002857142857143,0,1,1
16,32,2,0,32,0,0.048192771084337,0.096385542168675,0.006024096385542,0,1,1
20,48,6,0,48,0,0.052770448548813,0.12664907651715,0.015831134564644,0,1,1
13,32,2,0,32,0,0.036619718309859,0.090140845070423,0.005633802816901,0,1,1
12,48,2,1,48,0,0.033802816901408,0.135211267605634,0.005633802816901,0.002816901408451,1,1
23,48,2,1,48,3,0.053488372093023,0.111627906976744,0.004651162790698,0.002325581395349,1,1
14,40,1,0,40,0,0.041055718475073,0.117302052785924,0.002932551319648,0,1,1
11,36,2,0,36,1,0.033536585365854,0.109756097560976,0.00609756097561,0,1,1
12,37,1,0,37,2,0.034883720930233,0.107558139534884,0.002906976744186,0,1,1
10,36,1,0,36,2,0.02865329512894,0.103151862464183,0.002865329512894,0,1,1
5,28,0,0,28,1,0.014925373134328,0.083582089552239,0,0,1,1
10,38,3,0,38,0,0.029673590504451,0.112759643916914,0.008902077151335,0,1,1
15,54,8,0,54,3,0.042253521126761,0.152112676056338,0.022535211267606,0,1,1
13,26,1,0,26,0,0.035230352303523,0.070460704607046,0.002710027100271,0,1,1
11,29,3,0,29,1,0.032258064516129,0.085043988269795,0.008797653958944,0,1,1
7,48,6,0,48,2,0.018970189701897,0.130081300813008,0.016260162601626,0,1,1
11,58,6,0,58,1,0.023758099352052,0.125269978401728,0.012958963282937,0,1,1
13,36,1,0,36,1,0.034120734908137,0.094488188976378,0.002624671916011,0,1,1
14,37,3,0,37,2,0.039106145251397,0.103351955307263,0.008379888268156,0,1,1
8,43,5,0,43,1,0.021505376344086,0.115591397849462,0.013440860215054,0,1,1
14,50,8,0,50,1,0.03954802259887,0.141242937853107,0.022598870056497,0,1,1
8,30,2,0,30,0,0.023598820058997,0.088495575221239,0.005899705014749,0,1,1
7,30,2,0,30,1,0.019830028328612,0.084985835694051,0.005665722379603,0,1,1
18,30,1,0,30,0,0.052631578947368,0.087719298245614,0.002923976608187,0,1,1
13,35,2,0,35,0,0.038461538461539,0.103550295857988,0.005917159763314,0,1,1
23,56,2,1,56,0,0.041818181818182,0.101818181818182,0.003636363636364,0.001818181818182,1,1
20,51,4,0,51,2,0.05420054200542,0.138211382113821,0.010840108401084,0,1,1
14,55,5,0,55,2,0.030701754385965,0.120614035087719,0.010964912280702,0,1,1
11,41,2,0,41,1,0.032738095238095,0.12202380952381,0.005952380952381,0,1,1
8,45,1,0,45,0,0.024024024024024,0.135135135135135,0.003003003003003,0,1,1
12,38,7,0,38,1,0.034883720930233,0.11046511627907,0.020348837209302,0,1,1
11,39,2,0,39,0,0.033333333333333,0.118181818181818,0.006060606060606,0,1,1
8,45,2,0,45,1,0.023054755043228,0.129682997118156,0.005763688760807,0,1,1
4,51,4,0,51,3,0.011461318051576,0.146131805157593,0.011461318051576,0,1,1
9,35,1,0,35,1,0.025862068965517,0.100574712643678,0.002873563218391,0,1,1
9,42,4,0,42,2,0.026627218934911,0.124260355029586,0.011834319526627,0,1,1
6,39,2,0,39,3,0.017094017094017,0.111111111111111,0.005698005698006,0,1,1
11,43,2,0,43,3,0.026960784313726,0.105392156862745,0.004901960784314,0,1,1
13,58,4,0,58,5,0.034300791556728,0.153034300791557,0.010554089709763,0,1,1
8,32,1,0,32,0,0.022857142857143,0.091428571428571,0.002857142857143,0,1,1
14,32,1,0,32,3,0.042296072507553,0.096676737160121,0.003021148036254,0,1,1
12,45,3,0,45,1,0.034383954154728,0.128939828080229,0.008595988538682,0,1,1
14,56,3,0,56,2,0.04093567251462,0.16374269005848,0.008771929824561,0,1,1
13,34,5,0,34,2,0.03834808259587,0.100294985250737,0.014749262536873,0,1,1
12,30,1,0,30,2,0.034883720930233,0.087209302325581,0.002906976744186,0,1,1
6,25,1,0,25,2,0.017804154302671,0.074183976261128,0.002967359050445,0,1,1
12,44,4,0,44,3,0.034985422740525,0.128279883381924,0.011661807580175,0,1,1
12,38,0,0,38,3,0.035714285714286,0.113095238095238,0,0,1,1
4,43,1,0,43,0,0.011904761904762,0.12797619047619,0.00297619047619,0,1,1
15,72,1,0,72,5,0.039787798408488,0.190981432360743,0.002652519893899,0,1,1
12,41,1,0,41,0,0.034582132564842,0.118155619596542,0.002881844380403,0,1,1
9,37,3,0,37,1,0.025641025641026,0.105413105413105,0.008547008547009,0,1,1
6,28,1,0,28,3,0.015915119363395,0.074270557029178,0.002652519893899,0,1,1
6,39,5,0,39,2,0.017094017094017,0.111111111111111,0.014245014245014,0,1,1
6,35,1,0,35,4,0.018181818181818,0.106060606060606,0.003030303030303,0,1,1
12,43,1,0,43,2,0.034285714285714,0.122857142857143,0.002857142857143,0,1,1
12,46,2,0,46,3,0.036036036036036,0.138138138138138,0.006006006006006,0,1,1
9,26,1,0,26,2,0.025352112676056,0.073239436619718,0.002816901408451,0,1,1
10,33,3,0,33,0,0.028011204481793,0.092436974789916,0.008403361344538,0,1,1
13,38,5,0,38,1,0.037249283667622,0.108882521489971,0.01432664756447,0,1,1
13,58,4,0,58,5,0.034300791556728,0.153034300791557,0.010554089709763,0,1,1
7,37,3,0,37,2,0.020114942528736,0.10632183908046,0.008620689655172,0,1,1
8,43,3,0,43,1,0.024767801857585,0.13312693498452,0.009287925696594,0,1,1
14,39,1,0,39,2,0.036745406824147,0.102362204724409,0.002624671916011,0,1,1
7,39,2,0,39,0,0.01994301994302,0.111111111111111,0.005698005698006,0,1,1
6,39,3,0,39,2,0.016759776536313,0.108938547486034,0.008379888268156,0,1,1
13,37,3,0,37,1,0.03485254691689,0.099195710455764,0.008042895442359,0,1,1
9,46,5,1,46,1,0.024861878453039,0.12707182320442,0.013812154696133,0.002762430939227,1,1
8,33,1,0,33,2,0.023952095808383,0.098802395209581,0.002994011976048,0,1,1
11,36,2,0,36,2,0.032163742690059,0.105263157894737,0.005847953216374,0,1,1
9,43,3,0,43,1,0.026392961876833,0.126099706744868,0.008797653958944,0,1,1
19,48,2,0,48,0,0.048843187660668,0.123393316195373,0.005141388174807,0,1,1
8,28,0,1,28,0,0.023880597014925,0.083582089552239,0,0.002985074626866,1,1
12,46,4,0,46,4,0.035294117647059,0.135294117647059,0.011764705882353,0,1,1
10,33,3,0,33,2,0.029498525073746,0.097345132743363,0.008849557522124,0,1,1
11,45,4,0,45,1,0.031884057971015,0.130434782608696,0.011594202898551,0,1,1
12,41,2,0,41,0,0.034285714285714,0.117142857142857,0.005714285714286,0,1,1
11,39,3,0,39,1,0.031700288184438,0.112391930835735,0.00864553314121,0,1,1
12,36,2,0,36,2,0.032520325203252,0.097560975609756,0.005420054200542,0,1,1
9,45,5,0,45,0,0.026706231454006,0.13353115727003,0.014836795252226,0,1,1
8,42,4,0,42,1,0.022535211267606,0.11830985915493,0.011267605633803,0,1,1
14,35,2,0,35,1,0.042168674698795,0.105421686746988,0.006024096385542,0,1,1
19,48,2,0,48,0,0.048843187660668,0.123393316195373,0.005141388174807,0,1,1
6,35,3,0,35,2,0.017699115044248,0.103244837758112,0.008849557522124,0,1,1
8,35,2,0,35,1,0.023121387283237,0.101156069364162,0.005780346820809,0,1,1
8,36,3,0,36,5,0.02247191011236,0.101123595505618,0.008426966292135,0,1,1
11,39,2,0,39,0,0.03013698630137,0.106849315068493,0.005479452054795,0,1,1
6,29,2,0,29,0,0.017910447761194,0.086567164179105,0.005970149253731,0,1,1
9,47,3,1,47,1,0.025,0.130555555555556,0.008333333333333,0.002777777777778,1,1
5,29,2,0,29,2,0.01453488372093,0.084302325581395,0.005813953488372,0,1,1
7,28,3,0,28,3,0.019553072625698,0.078212290502793,0.008379888268156,0,1,1
15,72,1,0,72,5,0.039787798408488,0.190981432360743,0.002652519893899,0,1,1
20,49,2,0,49,0,0.038167938931298,0.093511450381679,0.00381679389313,0,1,1
5,33,4,0,33,0,0.01453488372093,0.09593023255814,0.011627906976744,0,1,1
6,33,3,0,33,0,0.017595307917889,0.096774193548387,0.008797653958944,0,1,1
4,30,2,0,30,0,0.011049723756906,0.082872928176796,0.005524861878453,0,1,1
14,46,6,0,46,2,0.03030303030303,0.0995670995671,0.012987012987013,0,1,1
11,50,4,0,50,1,0.026699029126214,0.121359223300971,0.009708737864078,0,1,1
8,39,4,0,39,1,0.023598820058997,0.115044247787611,0.011799410029499,0,1,1
15,42,2,0,42,1,0.041551246537396,0.116343490304709,0.005540166204986,0,1,1
6,30,0,0,30,1,0.017910447761194,0.08955223880597,0,0,1,1
6,39,3,0,39,0,0.018072289156627,0.117469879518072,0.009036144578313,0,1,1
13,34,2,0,34,1,0.026915113871636,0.070393374741201,0.004140786749482,0,1,1
13,23,0,0,23,1,0.03834808259587,0.067846607669617,0,0,1,1
14,38,3,0,38,0,0.041543026706232,0.112759643916914,0.008902077151335,0,1,1
13,37,4,0,37,0,0.039039039039039,0.111111111111111,0.012012012012012,0,1,1
21,57,3,0,57,0,0.044117647058824,0.119747899159664,0.006302521008403,0,1,1
9,52,6,0,52,0,0.021686746987952,0.125301204819277,0.014457831325301,0,1,1
12,34,2,0,34,1,0.035190615835777,0.099706744868035,0.005865102639296,0,1,1
9,36,1,0,36,0,0.026011560693642,0.104046242774566,0.002890173410405,0,1,1
16,48,3,0,48,1,0.050632911392405,0.151898734177215,0.009493670886076,0,1,1
13,49,3,0,49,1,0.030660377358491,0.115566037735849,0.007075471698113,0,1,1
13,45,3,0,45,2,0.034574468085106,0.11968085106383,0.007978723404255,0,1,1
17,45,1,0,45,0,0.036559139784946,0.096774193548387,0.002150537634409,0,1,1
8,21,1,0,21,0,0.022727272727273,0.059659090909091,0.002840909090909,0,1,1
12,36,0,0,36,2,0.036036036036036,0.108108108108108,0,0,1,1
15,49,4,0,49,0,0.039267015706806,0.128272251308901,0.010471204188482,0,1,1
9,23,0,0,23,1,0.022332506203474,0.057071960297767,0,0,1,1
15,50,5,0,50,2,0.034246575342466,0.114155251141553,0.011415525114155,0,1,1
18,66,3,0,66,5,0.034026465028355,0.12476370510397,0.005671077504726,0,1,1
17,48,3,0,48,4,0.037117903930131,0.104803493449782,0.006550218340611,0,1,1
8,58,4,0,58,1,0.017777777777778,0.128888888888889,0.008888888888889,0,1,1
10,38,3,0,38,2,0.021834061135371,0.082969432314411,0.006550218340611,0,1,1
13,33,3,0,33,1,0.037142857142857,0.094285714285714,0.008571428571429,0,1,1
15,48,3,0,48,2,0.036945812807882,0.118226600985222,0.007389162561576,0,1,1
16,37,2,0,37,4,0.045070422535211,0.104225352112676,0.005633802816901,0,1,1
8,35,4,0,35,0,0.021857923497268,0.095628415300546,0.010928961748634,0,1,1
16,60,1,0,60,2,0.027972027972028,0.104895104895105,0.001748251748252,0,1,1
8,42,2,0,42,2,0.022284122562674,0.116991643454039,0.005571030640669,0,1,1
13,62,2,0,62,1,0.02680412371134,0.127835051546392,0.004123711340206,0,1,1
15,41,1,0,41,0,0.039267015706806,0.107329842931937,0.00261780104712,0,1,1
20,64,11,0,64,1,0.034843205574913,0.111498257839721,0.019163763066202,0,1,1
11,33,1,0,33,1,0.027989821882952,0.083969465648855,0.002544529262087,0,1,1
14,41,2,0,41,2,0.034313725490196,0.100490196078431,0.004901960784314,0,1,1
15,44,5,0,44,1,0.045731707317073,0.134146341463415,0.015243902439024,0,1,1
20,50,6,0,50,0,0.046620046620047,0.116550116550117,0.013986013986014,0,1,1
18,56,2,0,56,2,0.032315978456014,0.100538599640934,0.00359066427289,0,1,1
7,33,3,0,33,1,0.018666666666667,0.088,0.008,0,1,1
14,51,4,0,51,4,0.034912718204489,0.127182044887781,0.00997506234414,0,1,1
14,52,6,0,52,1,0.040462427745665,0.15028901734104,0.017341040462428,0,1,1
11,47,2,0,47,3,0.031609195402299,0.135057471264368,0.005747126436782,0,1,1
20,48,1,0,48,1,0.06269592476489,0.150470219435737,0.003134796238245,0,1,1
12,30,2,0,30,0,0.035820895522388,0.08955223880597,0.005970149253731,0,1,1
14,50,6,0,50,2,0.036745406824147,0.131233595800525,0.015748031496063,0,1,1
10,37,0,0,37,0,0.028248587570622,0.104519774011299,0,0,1,1
11,54,0,0,54,1,0.022177419354839,0.108870967741935,0,0,1,1
21,49,4,0,49,2,0.0546875,0.127604166666667,0.010416666666667,0,1,1
10,48,3,0,48,1,0.026881720430108,0.129032258064516,0.008064516129032,0,1,1
9,43,5,0,43,1,0.025568181818182,0.122159090909091,0.014204545454546,0,1,1
19,59,5,0,59,2,0.036468330134357,0.113243761996161,0.009596928982726,0,1,1
17,50,2,0,50,3,0.048158640226629,0.141643059490085,0.005665722379603,0,1,1
12,31,3,1,31,0,0.034682080924856,0.089595375722543,0.008670520231214,0.002890173410405,1,1
14,54,3,0,54,1,0.032110091743119,0.123853211009174,0.006880733944954,0,1,1
10,37,3,0,37,1,0.028901734104046,0.106936416184971,0.008670520231214,0,1,1
4,34,2,0,34,0,0.01186943620178,0.100890207715134,0.00593471810089,0,1,1
10,48,4,0,48,1,0.027932960893855,0.134078212290503,0.011173184357542,0,1,1
9,29,0,0,29,1,0.025495750708215,0.082152974504249,0,0,1,1
15,41,2,0,41,0,0.045045045045045,0.123123123123123,0.006006006006006,0,1,1
10,35,5,0,35,1,0.028735632183908,0.100574712643678,0.014367816091954,0,1,1
15,46,4,0,46,1,0.043227665706052,0.132564841498559,0.011527377521614,0,1,1
12,35,3,0,35,3,0.036253776435045,0.105740181268882,0.009063444108761,0,1,1
12,39,9,0,39,2,0.034883720930233,0.113372093023256,0.026162790697674,0,1,1
16,33,1,0,33,0,0.046242774566474,0.095375722543353,0.002890173410405,0,1,1
7,33,1,0,33,3,0.019774011299435,0.093220338983051,0.002824858757062,0,1,1
16,40,2,0,40,0,0.045454545454546,0.113636363636364,0.005681818181818,0,1,1
9,33,3,0,33,2,0.025280898876405,0.092696629213483,0.008426966292135,0,1,1
7,33,1,0,33,0,0.019337016574586,0.091160220994475,0.002762430939227,0,1,1
11,40,2,0,40,0,0.032258064516129,0.117302052785924,0.005865102639296,0,1,1
11,35,2,0,35,1,0.032448377581121,0.103244837758112,0.005899705014749,0,1,1
9,35,1,0,35,0,0.026239067055394,0.102040816326531,0.002915451895044,0,1,1
8,43,3,0,43,0,0.018779342723005,0.10093896713615,0.007042253521127,0,1,2
13,38,4,0,38,0,0.035616438356164,0.104109589041096,0.010958904109589,0,1,2
18,39,4,0,39,0,0.046272493573265,0.10025706940874,0.010282776349614,0,1,2
14,50,1,1,50,0,0.035623409669211,0.127226463104326,0.002544529262087,0.002544529262087,1,2
10,33,0,0,33,1,0.019157088122605,0.063218390804598,0,0,1,2
20,70,3,0,70,7,0.033333333333333,0.116666666666667,0.005,0,1,2
7,54,7,0,54,2,0.016166281755196,0.124711316397229,0.016166281755196,0,1,2
10,33,4,0,33,0,0.025839793281654,0.085271317829457,0.010335917312662,0,1,2
8,42,5,0,42,1,0.020942408376963,0.109947643979058,0.013089005235602,0,1,2
20,64,8,1,64,1,0.041407867494824,0.132505175983437,0.01656314699793,0.002070393374741,1,2
17,40,3,0,40,1,0.033932135728543,0.079840319361277,0.005988023952096,0,1,2
2,24,4,0,24,1,0.005277044854881,0.063324538258575,0.010554089709763,0,1,2
13,43,3,0,43,0,0.032418952618454,0.107231920199501,0.007481296758105,0,1,2
20,50,4,0,50,0,0.03338898163606,0.08347245409015,0.006677796327212,0,1,2
13,35,2,0,35,0,0.029279279279279,0.078828828828829,0.004504504504505,0,1,2
7,36,4,0,36,1,0.020231213872832,0.104046242774566,0.011560693641619,0,1,2
13,34,9,0,34,0,0.035422343324251,0.092643051771117,0.024523160762943,0,1,2
21,44,4,0,44,0,0.057692307692308,0.120879120879121,0.010989010989011,0,1,2
10,35,5,0,35,0,0.027855153203343,0.097493036211699,0.013927576601671,0,1,2
20,54,4,0,54,0,0.041666666666667,0.1125,0.008333333333333,0,1,2
36,72,14,0,72,0,0.064516129032258,0.129032258064516,0.025089605734767,0,1,2
13,32,1,0,32,0,0.026262626262626,0.064646464646465,0.002020202020202,0,1,2
7,31,1,0,31,0,0.015418502202643,0.068281938325991,0.002202643171806,0,1,2
16,53,6,1,53,0,0.0381861575179,0.126491646778043,0.014319809069212,0.002386634844869,1,2
17,44,2,0,44,2,0.048022598870057,0.124293785310734,0.005649717514124,0,1,2
10,33,2,0,33,1,0.018621973929237,0.06145251396648,0.003724394785847,0,1,2
8,36,0,0,36,0,0.021164021164021,0.095238095238095,0,0,1,2
11,42,2,0,42,0,0.022821576763486,0.087136929460581,0.004149377593361,0,1,2
11,28,0,0,28,0,0.028205128205128,0.071794871794872,0,0,1,2
17,51,5,0,51,0,0.034274193548387,0.102822580645161,0.01008064516129,0,1,2
19,51,3,0,51,0,0.036121673003802,0.096958174904943,0.005703422053232,0,1,2
9,45,3,0,45,1,0.01931330472103,0.09656652360515,0.006437768240343,0,1,2
